adult,genre_ids,id,original_language,title,release_date,vote_count
False,"[16, 14, 28]",620249,zh,The Legend of Hei,2019-08-27,347
False,"[28, 18, 36]",14537,ja,Harakiri,1962-09-15,949
False,"[18, 10752]",423,en,The Pianist,2002-09-17,8950
False,[10402],1160164,en,TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,354
False,"[18, 10402]",244786,en,Whiplash,2014-10-10,14747
False,"[10749, 18]",761053,en,Gabriel's Inferno: Part III,2020-11-19,1047
False,"[16, 18]",378064,ja,A Silent Voice: The Movie,2016-09-17,3834
False,"[80, 9648, 53]",807,en,Se7en,1995-09-22,20540
False,"[28, 878, 12]",27205,en,Inception,2010-07-15,35991
False,"[16, 28, 12, 878]",569094,en,Spider-Man: Across the Spider-Verse,2023-05-31,6508
False,"[53, 9648]",567,en,Rear Window,1954-08-01,6314
False,"[80, 18, 53]",274,en,The Silence of the Lambs,1991-02-14,15908
False,[18],73,en,American History X,1998-07-01,11316
False,"[12, 14, 16]",128,ja,Princess Mononoke,1997-07-12,7773
False,"[10749, 16, 14]",92321,ja,Hotarubi no Mori e,2011-09-17,1083
False,"[35, 10752]",914,en,The Great Dictator,1940-10-15,3266
False,"[18, 35]",644479,es,Dedicated to my ex,2019-11-01,497
False,"[18, 80, 9648]",12493,ja,High and Low,1963-03-01,849
False,"[12, 35, 878]",105,en,Back to the Future,1985-07-03,19477
False,"[16, 35, 10749]",820067,ja,The Quintessential Quintuplets Movie,2022-05-20,365
